trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	num_distr	fixation.started	target.started	mouse.started	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate
41	0	41	0	5	119.7489623	119.7489623	0.0319653	-0.444444444	0.291666667	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
45	0	45	0	5	128.0589773	128.0589773	0.0314804	-0.156481481	-0.358333333	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
46	0	46	0	5	129.5534289	129.5534289	0.030581	-0.15462963	-0.107407407	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
49	0	49	0	5	132.7648439	132.7648439	0.0346124	-0.42037037	0.458333333	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
51	0	51	0	5	135.4372231	135.4372231	0.0367361	-0.12037037	0.062962963	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
54	0	54	0	5	139.6284341	139.6284341	0.0180446	-0.308333333	-0.419444444	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
56	0	56	0	5	142.1858745	142.1858745	0.0173883	-0.425925926	-0.165740741	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
57	0	57	0	5	143.2159749	143.2159749	0.0358206	0.211111111	0.349074074	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
59	0	59	0	5	146.7229068	146.7229068	0.0281268	0.049074074	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
60	0	60	0	5	147.5373755	147.5373755	0.0199821	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
61	0	61	0	5	148.155259	148.155259	0.0186962	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
62	0	62	0	5	148.7210563	148.7210563	0.0195763	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
68	0	68	0	5	151.8422321	151.8422321	0.0157217	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
72	0	72	0	5	153.886689	153.886689	0.0357045	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
74	0	74	0	5	154.9172026	154.9172026	0.0345155	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
75	0	75	0	5	155.4989969	155.4989969	0.0197743	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
76	0	76	0	5	156.0973732	156.0973732	0.0203249	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
79	0	79	0	5	157.825906	157.825906	0.0259675	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
80	0	80	0	5	158.3744275	158.3744275	0.0194852	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
88	0	88	0	5	162.5963915	162.5963915	0.0366556	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
90	0	90	0	5	163.6764414	163.6764414	0.0267074	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
91	0	91	0	5	164.1918427	164.1918427	0.0210497	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
93	0	93	0	5	165.2888616	165.2888616	0.0258856	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
95	0	95	0	5	166.4024584	166.4024584	0.0356787	0.050925926	0.147222222	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
